;Public Equity;PE/VC;Hedge Funds;Real Assets & ILBs;Fixed Income;Private Credit;Cash
1999;0.490927419;0.048387097;0.15625;0.061491935;0.204637097;0;0.038306452
2000;0.490927419;0.048387097;0.15625;0.061491935;0.204637097;0;0.038306452
2001;0.490927419;0.048387097;0.15625;0.061491935;0.204637097;0;0.038306452
2002;0.490927419;0.048387097;0.15625;0.061491935;0.204637097;0;0.038306452
2003;0.490927419;0.048387097;0.15625;0.061491935;0.204637097;0;0.038306452
2004;0.503036437;0.050607287;0.17611336;0.064777328;0.162955466;0;0.042510121
2005;0.481407035;0.054271357;0.192964824;0.083417085;0.148743719;0;0.03919598
2006;0.474899598;0.059236948;0.204819277;0.095381526;0.13253012;0;0.03313253
2007;0.47442327;0.069207623;0.211634905;0.104312939;0.116349047;0;0.024072217
2008;0.399598394;0.087349398;0.235943775;0.130522088;0.124497992;0;0.022088353
2009;0.344758065;0.097782258;0.241935484;0.117943548;0.141129032;0;0.056451613
2010;0.344064386;0.105633803;0.259557344;0.124748491;0.134808853;0;0.031187123
2011;0.364185111;0.11167002;0.250503018;0.131790744;0.114688129;0;0.027162978
2012;0.347389558;0.118473896;0.254016064;0.134538153;0.115461847;0;0.030120482
2013;0.380522088;0.108433735;0.232931727;0.126506024;0.100401606;0.019076305;0.032128514
2014;0.40060241;0.108433735;0.227911647;0.121485944;0.088353414;0.017068273;0.036144578
2015;0.400200602;0.112337011;0.23671013;0.105315948;0.089267803;0.015045135;0.04112337
2016;0.398194584;0.115346038;0.229689067;0.110330993;0.091273821;0.016048144;0.039117352
2017;0.430443548;0.11391129;0.214717742;0.102822581;0.083669355;0.014112903;0.040322581
2018;0.425832492;0.124117053;0.210898083;0.103935419;0.085771948;0.014127144;0.035317861
2019;0.422649141;0.144590495;0.202224469;0.092012133;0.087967644;0.015166835;0.035389282
2020;0.415571284;0.165824065;0.19817998;0.076845298;0.080889788;0.01718908;0.045500506
2021;0.409687185;0.212916246;0.175580222;0.072653885;0.071644803;0.01715439;0.040363269
2022;0.359798995;0.23718593;0.179899497;0.088442211;0.074371859;0.020100503;0.040201005
2023;0.377889447;0.231155779;0.176884422;0.083417085;0.073366834;0.021105528;0.036180905