Date;Public Equity;PE/VC;Hedge Funds;Real Assets & ILBs;Fixed Income;Private Credit;Cash;High Yield
30.07.1999;-3.12%;;;;;;;
31.08.1999;-0.50%;;;;;;;
30.09.1999;-2.74%;;;;;;;
29.10.1999;6.33%;;;;;;;
30.11.1999;2.03%;;;;;;;
31.12.1999;5.89%;;;;;;;
31.01.2000;-5.02%;-12.80%;-0.10%;0.06%;-1.71%;;0.46%;-0.43%
29.02.2000;-1.89%;-7.80%;6.49%;-2.88%;-0.19%;;0.47%;0.19%
31.03.2000;9.78%;31.86%;-2.12%;2.64%;2.00%;;0.48%;-2.10%
28.04.2000;-3.01%;-13.99%;-4.63%;6.29%;-2.44%;;0.47%;0.16%
31.05.2000;-2.06%;-8.78%;-1.17%;0.59%;0.46%;;0.46%;-1.03%
30.06.2000;2.47%;7.67%;3.66%;1.99%;2.54%;;0.48%;2.04%
31.07.2000;-1.56%;-4.01%;0.11%;8.48%;-1.00%;;0.50%;0.76%
31.08.2000;6.21%;12.78%;3.39%;-4.27%;-0.44%;;0.51%;0.68%
29.09.2000;-5.28%;-12.05%;-0.41%;3.12%;0.28%;;0.50%;-0.87%
31.10.2000;-0.42%;0.89%;-1.09%;-4.59%;-0.81%;;0.52%;-3.20%
30.11.2000;-7.88%;-6.99%;-1.55%;1.14%;1.72%;;0.50%;-3.96%
29.12.2000;0.49%;-0.80%;2.66%;6.02%;2.88%;;0.48%;1.93%
31.01.2001;3.55%;-4.88%;0.94%;0.43%;0.48%;;0.41%;7.49%
28.02.2001;-9.12%;11.17%;-0.59%;-2.16%;0.16%;;0.40%;1.33%
30.03.2001;-6.33%;3.56%;-0.34%;0.51%;-2.05%;;0.35%;-2.35%
30.04.2001;7.77%;-0.47%;0.69%;1.87%;-0.12%;;0.32%;-1.25%
31.05.2001;0.67%;0.65%;0.83%;1.97%;0.19%;;0.30%;1.80%
29.06.2001;-2.43%;0.80%;0.58%;5.33%;-0.70%;;0.30%;-2.81%
31.07.2001;-0.99%;-0.42%;-0.02%;-2.52%;2.29%;;0.29%;1.47%
31.08.2001;-6.26%;-4.81%;0.92%;3.20%;3.01%;;0.28%;1.18%
28.09.2001;-8.08%;-5.68%;-0.83%;-4.45%;0.78%;;0.20%;-6.72%
31.10.2001;1.91%;2.49%;0.44%;-3.55%;0.90%;;0.17%;2.47%
30.11.2001;7.67%;4.34%;0.54%;4.93%;-1.16%;;0.14%;3.65%
31.12.2001;0.88%;1.07%;1.19%;1.42%;-2.09%;;0.14%;-0.41%
31.01.2002;-1.46%;-0.16%;0.54%;-0.34%;-0.90%;;0.15%;0.70%
28.02.2002;-1.93%;0.15%;-0.56%;1.32%;0.67%;;0.15%;-1.40%
29.03.2002;3.76%;1.97%;0.74%;5.73%;-0.59%;;0.15%;2.41%
30.04.2002;-6.06%;-1.21%;0.79%;0.27%;2.96%;;0.15%;1.56%
31.05.2002;-0.74%;0.83%;0.67%;0.80%;2.24%;;0.14%;-0.52%
28.06.2002;-7.12%;-1.80%;-0.84%;2.15%;3.48%;;0.14%;-7.37%
31.07.2002;-7.79%;0.24%;-1.35%;-5.78%;0.90%;;0.14%;-4.37%
30.08.2002;0.65%;-0.37%;0.85%;-0.30%;1.63%;;0.14%;2.85%
30.09.2002;-10.87%;-2.31%;0.08%;-4.34%;1.11%;;0.13%;-1.31%
31.10.2002;8.80%;3.78%;-0.04%;-5.41%;-0.28%;;0.12%;-0.87%
29.11.2002;5.89%;5.56%;1.09%;4.02%;0.26%;;0.10%;6.19%
31.12.2002;-5.88%;-9.84%;1.07%;-0.21%;4.05%;;0.10%;1.40%
31.01.2003;-2.62%;-6.62%;1.28%;-3.14%;1.12%;;0.10%;3.33%
28.02.2003;-1.50%;-5.51%;0.68%;1.13%;1.29%;;0.10%;1.23%
31.03.2003;0.97%;2.40%;0.26%;1.24%;0.25%;;0.09%;2.88%
30.04.2003;8.24%;22.99%;1.96%;3.89%;1.28%;;0.09%;5.93%
30.05.2003;5.27%;13.29%;2.71%;5.04%;3.55%;;0.09%;1.03%
30.06.2003;1.27%;2.22%;0.83%;1.59%;-1.08%;;0.07%;2.88%
31.07.2003;1.76%;2.86%;0.08%;4.92%;-2.91%;;0.08%;-1.10%
29.08.2003;1.95%;3.77%;0.76%;0.19%;-0.23%;;0.08%;1.15%
30.09.2003;-1.06%;-2.16%;1.52%;2.74%;4.81%;;0.08%;2.73%
31.10.2003;5.65%;7.96%;1.38%;1.34%;-0.56%;;0.08%;2.02%
28.11.2003;0.88%;1.84%;1.08%;3.84%;1.30%;;0.08%;1.52%
31.12.2003;5.24%;0.05%;1.95%;2.39%;3.27%;;0.08%;2.26%
30.01.2004;1.84%;-0.75%;1.70%;4.16%;0.37%;;0.08%;1.91%
27.02.2004;1.39%;0.82%;1.40%;1.27%;0.52%;;0.08%;-0.25%
31.03.2004;-1.51%;-0.69%;0.28%;4.94%;1.11%;;0.08%;0.68%
30.04.2004;-1.57%;-0.64%;-0.58%;-15.11%;-3.66%;;0.08%;-0.68%
31.05.2004;1.37%;0.21%;-0.23%;6.79%;0.49%;;0.09%;-1.69%
30.06.2004;1.95%;1.96%;0.34%;2.15%;0.29%;;0.10%;1.43%
30.07.2004;-3.31%;-3.55%;-0.31%;0.14%;-0.02%;;0.12%;1.36%
31.08.2004;0.40%;0.31%;0.14%;7.64%;2.19%;;0.13%;1.96%
30.09.2004;1.08%;1.86%;1.01%;-0.80%;1.18%;;0.14%;1.45%
29.10.2004;1.53%;3.50%;1.28%;5.11%;2.40%;;0.16%;1.81%
30.11.2004;4.05%;10.94%;2.65%;3.86%;2.65%;;0.18%;1.21%
31.12.2004;3.40%;7.86%;1.61%;4.29%;1.53%;;0.18%;1.49%
31.01.2005;-2.44%;-5.54%;-0.34%;-8.73%;-1.05%;;0.20%;-0.13%
28.02.2005;2.10%;4.25%;1.43%;2.52%;0.19%;;0.23%;1.47%
31.03.2005;-1.77%;-3.51%;-0.15%;-2.22%;-1.21%;;0.23%;-2.91%
29.04.2005;-1.90%;-5.54%;-1.04%;5.57%;1.31%;;0.24%;-0.97%
31.05.2005;3.18%;5.47%;0.15%;2.97%;-1.34%;;0.24%;1.78%
30.06.2005;0.14%;-0.43%;1.31%;4.50%;-0.45%;;0.26%;1.96%
29.07.2005;3.72%;5.95%;1.92%;6.91%;-0.80%;;0.28%;1.75%
31.08.2005;-0.91%;-1.47%;0.88%;-4.18%;1.65%;;0.29%;0.19%
30.09.2005;0.81%;1.29%;1.63%;0.01%;-1.59%;;0.29%;-1.00%
31.10.2005;-1.67%;-4.84%;-1.46%;-2.65%;-1.49%;;0.32%;-0.70%
30.11.2005;3.78%;7.75%;1.48%;3.79%;-0.71%;;0.32%;0.52%
30.12.2005;0.03%;-0.02%;1.61%;-0.63%;0.99%;;0.33%;0.86%
31.01.2006;2.65%;5.55%;3.23%;7.38%;1.26%;;0.36%;1.60%
28.02.2006;0.27%;-0.09%;0.34%;1.60%;-0.35%;;0.38%;0.67%
31.03.2006;1.24%;3.17%;1.82%;4.56%;-0.99%;;0.38%;0.60%
28.04.2006;1.34%;1.56%;2.22%;-3.99%;1.89%;;0.39%;0.62%
31.05.2006;-2.88%;-7.82%;-1.30%;-3.18%;1.29%;;0.39%;-0.01%
30.06.2006;0.13%;0.41%;-0.11%;4.81%;-0.79%;;0.41%;-0.35%
31.07.2006;0.62%;-0.96%;0.29%;3.29%;1.00%;;0.41%;0.98%
31.08.2006;2.38%;4.52%;0.85%;3.57%;1.16%;;0.41%;1.62%
29.09.2006;2.57%;3.64%;0.13%;1.50%;-0.01%;;0.40%;1.42%
31.10.2006;3.26%;5.83%;1.77%;6.05%;0.97%;;0.41%;1.36%
30.11.2006;1.90%;3.74%;2.07%;4.41%;2.44%;;0.41%;1.68%
29.12.2006;1.39%;2.94%;1.83%;-2.28%;-1.33%;;0.41%;1.10%
31.01.2007;1.51%;2.87%;1.33%;8.45%;-0.98%;;0.42%;1.12%
28.02.2007;-1.96%;-4.06%;0.74%;-2.61%;2.06%;;0.42%;1.40%
30.03.2007;1.12%;2.57%;1.24%;-2.79%;0.24%;;0.41%;0.11%
30.04.2007;4.43%;6.37%;2.02%;-0.27%;1.13%;;0.39%;1.30%
31.05.2007;3.49%;5.79%;2.31%;-0.37%;-1.56%;;0.39%;0.75%
29.06.2007;-1.66%;-3.09%;0.78%;-9.72%;-0.44%;;0.39%;-1.80%
31.07.2007;-3.10%;-6.33%;0.00%;-8.15%;2.03%;;0.40%;-3.54%
31.08.2007;1.50%;2.40%;-1.53%;6.22%;1.23%;;0.34%;1.36%
28.09.2007;3.74%;6.17%;2.71%;3.83%;2.24%;;0.31%;2.62%
31.10.2007;1.59%;2.58%;3.16%;0.86%;1.63%;;0.32%;0.60%
30.11.2007;-4.10%;-7.33%;-1.21%;-9.70%;1.91%;;0.26%;-2.17%
31.12.2007;-0.70%;-1.29%;0.47%;-5.90%;-0.30%;;0.27%;0.29%
31.01.2008;-6.00%;-10.54%;-1.48%;-0.75%;2.78%;;0.16%;-1.33%
29.02.2008;-3.25%;-6.54%;1.61%;-4.13%;1.67%;;0.15%;-1.36%
31.03.2008;-0.43%;-1.00%;-2.11%;5.94%;2.04%;;0.11%;-0.34%
30.04.2008;4.87%;6.51%;0.57%;5.69%;-1.91%;;0.11%;4.31%
30.05.2008;1.30%;2.71%;2.00%;-0.22%;-1.11%;;0.16%;0.36%
30.06.2008;-8.43%;-16.95%;0.00%;-11.54%;0.09%;;0.14%;-2.80%
31.07.2008;-0.84%;-1.22%;-2.61%;2.66%;0.14%;;0.14%;-1.33%
29.08.2008;1.45%;2.82%;-1.47%;1.88%;-1.65%;;0.14%;0.35%
30.09.2008;-8.91%;-17.24%;-6.55%;-0.83%;-2.35%;;0.08%;-7.98%
31.10.2008;-16.80%;-10.35%;-6.30%;-32.03%;-3.69%;;0.04%;-15.91%
28.11.2008;-7.17%;2.28%;-4.15%;-24.54%;2.89%;;0.00%;-9.31%
31.12.2008;1.06%;-0.12%;-0.03%;16.42%;6.21%;;0.01%;7.68%
30.01.2009;-8.43%;4.31%;1.09%;-17.97%;-3.27%;;0.02%;5.99%
27.02.2009;-10.65%;-1.31%;-0.88%;-21.53%;-2.23%;;0.02%;-3.10%
31.03.2009;8.76%;12.25%;0.65%;2.67%;2.30%;;0.02%;3.19%
30.04.2009;9.57%;9.60%;1.68%;30.67%;0.90%;;0.01%;12.10%
29.05.2009;5.59%;7.93%;4.06%;1.72%;3.57%;;0.01%;6.73%
30.06.2009;0.20%;0.19%;0.43%;-3.78%;0.41%;;0.01%;2.86%
31.07.2009;7.56%;18.57%;2.54%;10.36%;2.21%;;0.01%;6.09%
31.08.2009;3.61%;3.60%;1.53%;13.48%;1.76%;;0.01%;1.86%
30.09.2009;3.73%;4.70%;3.04%;6.16%;2.14%;;0.01%;5.69%
30.10.2009;-1.86%;-2.60%;0.13%;-4.79%;0.47%;;0.00%;1.79%
30.11.2009;5.99%;1.21%;2.11%;6.31%;2.55%;;0.00%;1.01%
31.12.2009;1.93%;0.48%;0.88%;6.53%;-3.76%;;0.00%;3.28%
29.01.2010;-3.60%;1.62%;0.17%;-5.52%;0.41%;;0.01%;1.27%
26.02.2010;3.10%;0.58%;0.68%;5.15%;0.07%;;0.01%;0.17%
31.03.2010;6.03%;3.16%;2.22%;9.62%;-0.76%;;0.01%;3.14%
30.04.2010;1.58%;0.14%;1.24%;6.81%;0.02%;;0.01%;2.34%
31.05.2010;-7.98%;-5.43%;-2.76%;-5.61%;-1.56%;;0.01%;-3.59%
30.06.2010;-5.24%;-2.17%;-0.84%;-5.61%;1.53%;;0.01%;1.24%
30.07.2010;7.01%;6.04%;1.59%;9.49%;3.40%;;0.01%;3.56%
31.08.2010;-4.51%;-3.18%;0.23%;-1.57%;1.39%;;0.01%;0.04%
30.09.2010;8.92%;10.63%;3.43%;4.00%;2.35%;;0.01%;3.01%
29.10.2010;3.80%;4.03%;1.92%;4.55%;1.26%;;0.01%;2.58%
30.11.2010;0.01%;0.06%;-0.18%;-2.29%;-3.81%;;0.01%;-1.17%
31.12.2010;6.68%;7.67%;2.90%;4.07%;1.31%;;0.01%;1.81%
31.01.2011;2.37%;2.21%;0.69%;3.05%;0.18%;;0.01%;2.21%
28.02.2011;3.43%;5.60%;1.38%;4.31%;0.59%;;0.01%;1.31%
31.03.2011;0.04%;0.55%;0.12%;-1.86%;0.47%;;0.01%;0.32%
29.04.2011;2.96%;1.55%;1.80%;5.56%;3.10%;;0.00%;1.55%
31.05.2011;-1.13%;-0.25%;-0.96%;1.01%;-0.08%;;0.00%;0.49%
30.06.2011;-1.67%;0.19%;-1.36%;-3.64%;0.08%;;0.00%;-0.97%
29.07.2011;-2.03%;-2.14%;0.69%;1.44%;2.06%;;0.01%;1.16%
31.08.2011;-5.43%;-4.41%;-2.30%;-6.02%;1.27%;;0.00%;-4.00%
30.09.2011;-7.03%;-1.58%;-3.20%;-11.36%;-2.31%;;0.00%;-3.27%
31.10.2011;10.93%;6.06%;1.73%;14.25%;1.33%;;0.00%;5.99%
30.11.2011;-0.22%;-0.02%;-0.79%;-4.08%;-1.75%;;0.00%;-2.16%
30.12.2011;1.02%;0.73%;-0.22%;4.14%;0.67%;;0.00%;2.66%
31.01.2012;4.48%;4.98%;2.34%;6.30%;1.67%;;0.00%;3.04%
29.02.2012;4.32%;7.82%;1.61%;-1.31%;-0.07%;;0.01%;2.37%
30.03.2012;3.29%;6.77%;0.05%;4.66%;-0.72%;;0.01%;-0.14%
30.04.2012;-0.63%;-1.32%;-0.04%;2.75%;1.18%;;0.01%;1.05%
31.05.2012;-6.01%;-10.75%;-1.33%;-4.83%;-1.03%;;0.01%;-1.31%
29.06.2012;4.12%;6.14%;-0.40%;5.20%;0.48%;;0.01%;2.11%
31.07.2012;1.39%;1.04%;1.42%;1.80%;1.16%;;0.01%;1.90%
31.08.2012;2.25%;2.86%;0.84%;-0.25%;0.86%;;0.01%;1.17%
28.09.2012;2.58%;3.94%;1.04%;-2.29%;1.22%;;0.01%;1.39%
